member,num_magnet_schools,num_charter_schools,TOTFRL,FRELCH,pct_participating,popu_tot,meanic_hh,hh_ratio_married,hh_ratio_female,highschool,bachelorplus,employ,gini,y,t_cluster,t_median,z_cluster,z_median,countyid,funding,hh_ratio_black,score
1086.375,-0.148113116,-0.182243202,455.875,400.0,1.0,-0.030029972999999998,0.370876944,0.816792885,-0.036859183,-0.379192855,0.37748782399999997,-0.468174879,0.37326390299999995,-0.321428571,0,0,0,1,1083,-0.782101307,0.24903930800000001,-0.321428571
256.5,-0.148113116,-0.182243202,164.0,164.0,1.0,-0.280341363,-1.271700358,-2.695785138,4.106480491,-1.5704494919999998,-0.7981909759999999,-1.50032625,1.715341959,-1.241071429,0,0,1,1,1085,-0.782101307,4.654119977,-1.241071429
437.0,-0.148113116,-0.182243202,265.0,265.0,1.0,-0.260466146,-1.1124705559999999,-2.928101897,2.694894755,-0.7269282029999999,-0.126006795,-0.905132023,1.706901217,-1.1875,0,0,1,1,1087,-0.782101307,5.065919489,-1.1875
1199.727273,0.691460695,-0.182243202,352.9090909,307.1818182,1.0,0.7748208740000001,1.24225976,-0.29924159300000003,0.25053732100000004,0.676151508,2.048160919,0.34966663299999995,0.615231854,-0.12987013,0,0,1,1,1089,-0.782101307,1.063810568,-0.12987013
426.0,-0.148113116,-0.182243202,270.5,242.5,1.0,-0.251470288,-0.8791692959999999,-1.769996682,0.590566394,-0.455601498,-0.626816823,-1.350164001,2.401855682,-0.8125,0,0,1,1,1091,-0.782101307,3.2133520310000003,-0.8125
293.8333333,-0.148113116,-0.182243202,161.33333330000002,135.66666669999998,1.0,-0.219724723,-0.8619943059999999,0.193621281,0.335427655,-0.827129645,-0.8278327609999999,-0.383669981,0.8009281890000001,-0.5059523810000001,0,0,0,1,1093,-0.782101307,-0.369554124,-0.5059523810000001
656.75,-0.148113116,-0.182243202,325.875,288.125,1.0,-0.020664801,-0.424329688,0.326067306,0.175328762,-1.005004087,-0.412774464,-0.381716405,1.0316418170000001,-0.47098214299999996,0,0,0,0,1095,-0.782101307,-0.454675681,-0.47098214299999996
1255.933333,0.271673789,-0.182243202,537.4666667,525.8666667,1.0,0.960579359,-0.21925932399999998,-0.930995778,1.647299202,0.012394074,0.169357363,-0.37590059,0.786860285,-0.685714286,0,0,1,1,1097,-0.782101307,1.836752486,-0.685714286
624.0,-0.148113116,-0.182243202,356.0,323.75,1.0,-0.245308909,-1.4416280030000002,-1.09941051,0.713185695,-0.47647385600000003,-0.94906653,-2.445588301,3.147454602,-0.8392857140000001,0,0,1,1,1099,-0.782101307,2.2726395090000002,-0.8392857140000001
1010.142857,1.1112476,-0.182243202,506.14285710000007,506.14285710000007,1.0,0.381459017,-0.018701828,-1.975342711,2.157309947,-0.07856978,1.15470729,-0.171037562,1.07384553,-0.41581632700000004,0,0,1,1,1101,-0.782101307,3.3368532689999997,-0.41581632700000004
744.75,-0.148113116,-0.182243202,340.75,296.75,1.0,0.054487399000000006,-0.177919505,0.075797922,0.442523706,-0.555017675,-0.054419794,-0.216440465,0.32824661,-0.453125,0,0,0,1,1103,-0.782101307,0.288802112,-0.453125
721.0,-0.148113116,-0.182243202,524.0,524.0,1.0,-0.282440294,-1.918741019,-3.56937733,3.524101593,-0.9457243129999999,-0.44878152,-2.705224353,1.442424619,-1.214285714,0,0,1,1,1105,-0.782101307,4.05503368,-1.214285714
363.0,-0.148113116,-0.182243202,207.33333330000002,189.0,1.0,-0.250156147,-1.00128955,-0.9651359820000001,0.6636916939999999,-0.95969248,-1.004007237,-1.511193189,1.099167757,-0.880952381,0,0,1,1,1107,-0.782101307,2.303932476,-0.880952381
521.3333333,-0.148113116,-0.182243202,438.33333330000005,418.0,1.0,-0.209787115,-0.8510570129999999,-1.8585739769999998,1.385309499,-0.751264041,0.455518484,-0.572781781,2.0248358509999997,-0.6726190479999999,0,0,1,1,1109,-0.782101307,1.985482248,-0.6726190479999999
513.25,-0.148113116,-0.182243202,306.75,273.0,1.0,-0.24289298399999998,-0.9067571059999999,0.129651582,0.205101043,-1.1788548,-0.7252078909999999,-0.763567793,0.18756756800000002,-0.732142857,0,0,0,1,1111,-0.782101307,0.693255029,-0.732142857
1180.0,-0.148113116,-0.182243202,761.0,669.5,1.0,-0.132252844,-0.752677422,-1.328271113,1.530783131,-0.489935385,-0.461885581,-0.924902564,0.39858613,-0.7410714290000001,0,0,1,1,1113,-0.782101307,2.471239684,-0.7410714290000001
677.1666667000001,-0.148113116,-0.182243202,316.1666667,270.0,1.0,-0.044673249000000005,-0.047616652999999995,0.848677391,0.09712843300000001,-0.298185854,-0.559394291,-0.124218295,-0.9772548959999999,-0.48214285700000004,0,0,0,1,1115,-0.782101307,-0.015007742,-0.48214285700000004
1065.5,-0.148113116,-0.182243202,295.8,246.7,1.0,0.33013061,1.7479294319999998,1.320488568,-0.474413814,0.9130393370000001,2.260075635,0.759512002,-0.49050541200000003,-0.148214286,0,0,0,1,1117,-0.782101307,0.20294721100000002,-0.148214286
